,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,138.0,,,,,,,,,,,,,,,
1,369.0,,,,,,,,,,,,,,,
2,259.0,276.0,,,,,,,,,,,,,,
3,253.0,,,,,,,,,,,,,,,
4,208.0,,,,,,,,,,,,,,,
5,147.0,306.0,363.0,369.0,389.0,,,,,,,,,,,
6,363.0,389.0,,,,,,,,,,,,,,
7,319.0,,,,,,,,,,,,,,,
8,210.0,267.0,,,,,,,,,,,,,,
9,306.0,,,,,,,,,,,,,,,
10,290.0,,,,,,,,,,,,,,,
11,352.0,369.0,,,,,,,,,,,,,,
12,165.0,,,,,,,,,,,,,,,
13,363.0,389.0,,,,,,,,,,,,,,
14,319.0,,,,,,,,,,,,,,,
15,138.0,,,,,,,,,,,,,,,
16,337.0,,,,,,,,,,,,,,,
17,125.0,,,,,,,,,,,,,,,
18,193.0,299.0,349.0,367.0,,,,,,,,,,,,
19,349.0,,,,,,,,,,,,,,,
20,367.0,,,,,,,,,,,,,,,
21,138.0,165.0,208.0,283.0,312.0,344.0,349.0,357.0,372.0,,,,,,,
22,363.0,389.0,,,,,,,,,,,,,,
23,138.0,242.0,290.0,,,,,,,,,,,,,
24,206.0,,,,,,,,,,,,,,,
25,231.0,294.0,,,,,,,,,,,,,,
26,353.0,363.0,,,,,,,,,,,,,,
27,135.0,372.0,375.0,,,,,,,,,,,,,
28,282.0,290.0,353.0,,,,,,,,,,,,,
29,193.0,299.0,306.0,,,,,,,,,,,,,
30,147.0,,,,,,,,,,,,,,,
31,202.0,,,,,,,,,,,,,,,
32,203.0,,,,,,,,,,,,,,,
33,306.0,367.0,372.0,,,,,,,,,,,,,
34,314.0,,,,,,,,,,,,,,,
35,290.0,,,,,,,,,,,,,,,
36,367.0,,,,,,,,,,,,,,,
37,363.0,,,,,,,,,,,,,,,
38,106.0,138.0,217.0,286.0,,,,,,,,,,,,
39,133.0,,,,,,,,,,,,,,,
40,299.0,,,,,,,,,,,,,,,
41,363.0,,,,,,,,,,,,,,,
42,138.0,,,,,,,,,,,,,,,
43,193.0,299.0,349.0,367.0,,,,,,,,,,,,
44,313.0,,,,,,,,,,,,,,,
45,363.0,,,,,,,,,,,,,,,
46,306.0,,,,,,,,,,,,,,,
47,375.0,,,,,,,,,,,,,,,
48,369.0,,,,,,,,,,,,,,,
49,375.0,,,,,,,,,,,,,,,
50,231.0,294.0,,,,,,,,,,,,,,
51,367.0,,,,,,,,,,,,,,,
52,71.0,231.0,294.0,338.0,363.0,,,,,,,,,,,
53,299.0,363.0,,,,,,,,,,,,,,
54,363.0,,,,,,,,,,,,,,,
55,306.0,,,,,,,,,,,,,,,
56,207.0,,,,,,,,,,,,,,,
57,95.0,254.0,,,,,,,,,,,,,,
58,203.0,,,,,,,,,,,,,,,
59,274.0,282.0,313.0,346.0,,,,,,,,,,,,
60,314.0,,,,,,,,,,,,,,,
61,14.0,,,,,,,,,,,,,,,
62,274.0,282.0,290.0,348.0,367.0,,,,,,,,,,,
63,363.0,,,,,,,,,,,,,,,
64,241.0,286.0,,,,,,,,,,,,,,
65,389.0,,,,,,,,,,,,,,,
66,193.0,,,,,,,,,,,,,,,
67,193.0,,,,,,,,,,,,,,,
68,346.0,348.0,,,,,,,,,,,,,,
69,241.0,295.0,306.0,,,,,,,,,,,,,
70,337.0,,,,,,,,,,,,,,,
71,164.0,,,,,,,,,,,,,,,
72,203.0,,,,,,,,,,,,,,,
73,262.0,,,,,,,,,,,,,,,
74,231.0,,,,,,,,,,,,,,,
75,247.0,,,,,,,,,,,,,,,
76,375.0,,,,,,,,,,,,,,,
77,367.0,,,,,,,,,,,,,,,
78,286.0,306.0,,,,,,,,,,,,,,
79,299.0,363.0,,,,,,,,,,,,,,
80,299.0,363.0,,,,,,,,,,,,,,
81,222.0,,,,,,,,,,,,,,,
82,207.0,,,,,,,,,,,,,,,
83,95.0,254.0,,,,,,,,,,,,,,
84,253.0,349.0,,,,,,,,,,,,,,
85,138.0,,,,,,,,,,,,,,,
86,389.0,,,,,,,,,,,,,,,
87,138.0,338.0,,,,,,,,,,,,,,
88,208.0,376.0,,,,,,,,,,,,,,
89,389.0,,,,,,,,,,,,,,,
90,341.0,,,,,,,,,,,,,,,
91,337.0,,,,,,,,,,,,,,,
92,314.0,,,,,,,,,,,,,,,
93,338.0,,,,,,,,,,,,,,,
94,314.0,,,,,,,,,,,,,,,
95,247.0,,,,,,,,,,,,,,,
96,348.0,,,,,,,,,,,,,,,
97,86.0,276.0,282.0,293.0,315.0,323.0,348.0,,,,,,,,,
98,314.0,,,,,,,,,,,,,,,
99,303.0,,,,,,,,,,,,,,,
100,346.0,348.0,354.0,383.0,,,,,,,,,,,,
101,14.0,306.0,,,,,,,,,,,,,,
102,299.0,,,,,,,,,,,,,,,
103,299.0,387.0,,,,,,,,,,,,,,
104,135.0,,,,,,,,,,,,,,,
105,346.0,,,,,,,,,,,,,,,
106,138.0,,,,,,,,,,,,,,,
107,208.0,344.0,372.0,376.0,,,,,,,,,,,,
108,363.0,,,,,,,,,,,,,,,
109,138.0,,,,,,,,,,,,,,,
110,51.0,318.0,,,,,,,,,,,,,,
111,81.0,125.0,,,,,,,,,,,,,,
112,88.0,,,,,,,,,,,,,,,
113,363.0,,,,,,,,,,,,,,,
114,319.0,,,,,,,,,,,,,,,
115,143.0,,,,,,,,,,,,,,,
116,299.0,,,,,,,,,,,,,,,
117,286.0,363.0,,,,,,,,,,,,,,
118,10.0,138.0,,,,,,,,,,,,,,
119,110.0,138.0,283.0,314.0,357.0,,,,,,,,,,,
120,29.0,,,,,,,,,,,,,,,
121,389.0,,,,,,,,,,,,,,,
122,245.0,,,,,,,,,,,,,,,
123,314.0,,,,,,,,,,,,,,,
124,262.0,,,,,,,,,,,,,,,
125,262.0,,,,,,,,,,,,,,,
126,262.0,,,,,,,,,,,,,,,
127,14.0,304.0,,,,,,,,,,,,,,
128,14.0,165.0,314.0,,,,,,,,,,,,,
129,80.0,,,,,,,,,,,,,,,
130,14.0,,,,,,,,,,,,,,,
131,219.0,,,,,,,,,,,,,,,
132,14.0,,,,,,,,,,,,,,,
133,294.0,,,,,,,,,,,,,,,
134,312.0,,,,,,,,,,,,,,,
135,363.0,,,,,,,,,,,,,,,
136,165.0,314.0,344.0,354.0,,,,,,,,,,,,
137,266.0,294.0,372.0,,,,,,,,,,,,,
138,231.0,294.0,,,,,,,,,,,,,,
139,363.0,,,,,,,,,,,,,,,
140,363.0,,,,,,,,,,,,,,,
141,344.0,,,,,,,,,,,,,,,
142,206.0,,,,,,,,,,,,,,,
143,293.0,,,,,,,,,,,,,,,
144,262.0,,,,,,,,,,,,,,,
145,231.0,354.0,,,,,,,,,,,,,,
146,231.0,294.0,,,,,,,,,,,,,,
147,354.0,,,,,,,,,,,,,,,
148,389.0,,,,,,,,,,,,,,,
149,222.0,,,,,,,,,,,,,,,
150,267.0,,,,,,,,,,,,,,,
151,267.0,,,,,,,,,,,,,,,
152,363.0,,,,,,,,,,,,,,,
