,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,14.0,,,,,,,,,,,,,,,
1,389.0,,,,,,,,,,,,,,,
2,338.0,389.0,,,,,,,,,,,,,,
3,348.0,,,,,,,,,,,,,,,
4,10.0,338.0,389.0,,,,,,,,,,,,,
5,14.0,296.0,,,,,,,,,,,,,,
6,308.0,,,,,,,,,,,,,,,
7,308.0,,,,,,,,,,,,,,,
8,137.0,,,,,,,,,,,,,,,
9,266.0,,,,,,,,,,,,,,,
10,274.0,367.0,,,,,,,,,,,,,,
11,274.0,367.0,,,,,,,,,,,,,,
12,305.0,,,,,,,,,,,,,,,
13,274.0,367.0,,,,,,,,,,,,,,
14,245.0,,,,,,,,,,,,,,,
15,274.0,,,,,,,,,,,,,,,
16,231.0,,,,,,,,,,,,,,,
17,165.0,,,,,,,,,,,,,,,
18,231.0,294.0,,,,,,,,,,,,,,
19,218.0,309.0,,,,,,,,,,,,,,
20,208.0,,,,,,,,,,,,,,,
21,299.0,,,,,,,,,,,,,,,
22,175.0,,,,,,,,,,,,,,,
23,363.0,,,,,,,,,,,,,,,
24,389.0,,,,,,,,,,,,,,,
25,389.0,,,,,,,,,,,,,,,
26,389.0,,,,,,,,,,,,,,,
27,389.0,,,,,,,,,,,,,,,
28,389.0,,,,,,,,,,,,,,,
29,389.0,,,,,,,,,,,,,,,
30,389.0,,,,,,,,,,,,,,,
31,389.0,,,,,,,,,,,,,,,
32,41.0,389.0,,,,,,,,,,,,,,
33,348.0,,,,,,,,,,,,,,,
34,283.0,328.0,,,,,,,,,,,,,,
35,261.0,,,,,,,,,,,,,,,
36,80.0,367.0,,,,,,,,,,,,,,
37,165.0,,,,,,,,,,,,,,,
38,210.0,299.0,308.0,367.0,,,,,,,,,,,,
39,17.0,,,,,,,,,,,,,,,
40,253.0,,,,,,,,,,,,,,,
41,314.0,,,,,,,,,,,,,,,
42,247.0,,,,,,,,,,,,,,,
43,314.0,,,,,,,,,,,,,,,
44,274.0,367.0,,,,,,,,,,,,,,
45,314.0,,,,,,,,,,,,,,,
46,305.0,,,,,,,,,,,,,,,
47,195.0,,,,,,,,,,,,,,,
48,314.0,,,,,,,,,,,,,,,
49,10.0,56.0,,,,,,,,,,,,,,
50,17.0,,,,,,,,,,,,,,,
51,28.0,377.0,,,,,,,,,,,,,,
52,389.0,,,,,,,,,,,,,,,
53,354.0,,,,,,,,,,,,,,,
54,208.0,,,,,,,,,,,,,,,
55,208.0,,,,,,,,,,,,,,,
56,208.0,,,,,,,,,,,,,,,
57,315.0,,,,,,,,,,,,,,,
58,299.0,,,,,,,,,,,,,,,
59,261.0,,,,,,,,,,,,,,,
60,80.0,367.0,,,,,,,,,,,,,,
61,130.0,357.0,,,,,,,,,,,,,,
62,10.0,,,,,,,,,,,,,,,
63,376.0,,,,,,,,,,,,,,,
64,253.0,,,,,,,,,,,,,,,
65,138.0,367.0,,,,,,,,,,,,,,
66,10.0,138.0,,,,,,,,,,,,,,
67,323.0,,,,,,,,,,,,,,,
68,338.0,,,,,,,,,,,,,,,
69,10.0,338.0,,,,,,,,,,,,,,
70,323.0,,,,,,,,,,,,,,,
71,242.0,,,,,,,,,,,,,,,
72,138.0,338.0,389.0,,,,,,,,,,,,,
73,211.0,369.0,,,,,,,,,,,,,,
74,10.0,338.0,,,,,,,,,,,,,,
75,293.0,,,,,,,,,,,,,,,
76,198.0,,,,,,,,,,,,,,,
77,247.0,,,,,,,,,,,,,,,
78,314.0,,,,,,,,,,,,,,,
79,382.0,,,,,,,,,,,,,,,
80,348.0,,,,,,,,,,,,,,,
81,314.0,,,,,,,,,,,,,,,
82,208.0,,,,,,,,,,,,,,,
83,314.0,363.0,,,,,,,,,,,,,,
84,382.0,,,,,,,,,,,,,,,
85,61.0,247.0,,,,,,,,,,,,,,
86,208.0,308.0,349.0,367.0,,,,,,,,,,,,
87,195.0,,,,,,,,,,,,,,,
88,304.0,,,,,,,,,,,,,,,
89,246.0,,,,,,,,,,,,,,,
90,314.0,,,,,,,,,,,,,,,
91,211.0,,,,,,,,,,,,,,,
92,198.0,254.0,,,,,,,,,,,,,,
93,382.0,,,,,,,,,,,,,,,
94,376.0,,,,,,,,,,,,,,,
95,80.0,,,,,,,,,,,,,,,
96,253.0,274.0,,,,,,,,,,,,,,
97,80.0,,,,,,,,,,,,,,,
98,276.0,363.0,,,,,,,,,,,,,,
99,199.0,,,,,,,,,,,,,,,
100,344.0,,,,,,,,,,,,,,,
101,208.0,,,,,,,,,,,,,,,
102,389.0,,,,,,,,,,,,,,,
103,246.0,,,,,,,,,,,,,,,
104,358.0,,,,,,,,,,,,,,,
105,299.0,,,,,,,,,,,,,,,
106,299.0,,,,,,,,,,,,,,,
107,274.0,348.0,,,,,,,,,,,,,,
108,80.0,299.0,363.0,,,,,,,,,,,,,
109,266.0,,,,,,,,,,,,,,,
110,363.0,,,,,,,,,,,,,,,
111,314.0,,,,,,,,,,,,,,,
112,262.0,,,,,,,,,,,,,,,
113,262.0,,,,,,,,,,,,,,,
114,258.0,,,,,,,,,,,,,,,
115,26.0,,,,,,,,,,,,,,,
116,308.0,,,,,,,,,,,,,,,
117,202.0,266.0,363.0,,,,,,,,,,,,,
118,269.0,308.0,363.0,,,,,,,,,,,,,
119,283.0,,,,,,,,,,,,,,,
120,369.0,,,,,,,,,,,,,,,
121,367.0,,,,,,,,,,,,,,,
122,274.0,,,,,,,,,,,,,,,
123,236.0,,,,,,,,,,,,,,,
124,80.0,,,,,,,,,,,,,,,
125,80.0,,,,,,,,,,,,,,,
126,138.0,242.0,,,,,,,,,,,,,,
127,253.0,,,,,,,,,,,,,,,
128,369.0,,,,,,,,,,,,,,,
129,80.0,185.0,193.0,,,,,,,,,,,,,
130,349.0,369.0,,,,,,,,,,,,,,
131,383.0,,,,,,,,,,,,,,,
132,80.0,,,,,,,,,,,,,,,
133,308.0,,,,,,,,,,,,,,,
134,363.0,,,,,,,,,,,,,,,
135,308.0,,,,,,,,,,,,,,,
