,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,262,,,,,,,,,,,,,,,
1,88,,,,,,,,,,,,,,,
2,185,,,,,,,,,,,,,,,
3,14,,,,,,,,,,,,,,,
4,188,,,,,,,,,,,,,,,
5,151,375.0,,,,,,,,,,,,,,
6,106,,,,,,,,,,,,,,,
7,377,,,,,,,,,,,,,,,
8,266,,,,,,,,,,,,,,,
9,369,,,,,,,,,,,,,,,
10,106,,,,,,,,,,,,,,,
11,222,276.0,346.0,,,,,,,,,,,,,
12,348,,,,,,,,,,,,,,,
13,217,,,,,,,,,,,,,,,
14,369,,,,,,,,,,,,,,,
15,367,,,,,,,,,,,,,,,
16,348,,,,,,,,,,,,,,,
17,348,,,,,,,,,,,,,,,
18,348,,,,,,,,,,,,,,,
19,362,,,,,,,,,,,,,,,
20,362,,,,,,,,,,,,,,,
21,10,,,,,,,,,,,,,,,
22,349,,,,,,,,,,,,,,,
23,237,,,,,,,,,,,,,,,
24,266,,,,,,,,,,,,,,,
25,330,,,,,,,,,,,,,,,
26,222,,,,,,,,,,,,,,,
27,120,328.0,,,,,,,,,,,,,,
28,348,,,,,,,,,,,,,,,
29,348,,,,,,,,,,,,,,,
30,363,,,,,,,,,,,,,,,
31,210,,,,,,,,,,,,,,,
32,217,367.0,,,,,,,,,,,,,,
33,241,247.0,259.0,,,,,,,,,,,,,
34,253,319.0,330.0,,,,,,,,,,,,,
35,367,,,,,,,,,,,,,,,
36,348,,,,,,,,,,,,,,,
37,10,,,,,,,,,,,,,,,
38,306,,,,,,,,,,,,,,,
39,306,,,,,,,,,,,,,,,
40,306,,,,,,,,,,,,,,,
41,372,,,,,,,,,,,,,,,
42,14,376.0,,,,,,,,,,,,,,
43,246,,,,,,,,,,,,,,,
44,367,,,,,,,,,,,,,,,
45,363,,,,,,,,,,,,,,,
46,246,353.0,,,,,,,,,,,,,,
47,206,,,,,,,,,,,,,,,
48,306,,,,,,,,,,,,,,,
49,344,352.0,,,,,,,,,,,,,,
50,286,363.0,,,,,,,,,,,,,,
51,236,,,,,,,,,,,,,,,
52,247,,,,,,,,,,,,,,,
53,387,,,,,,,,,,,,,,,
54,246,353.0,,,,,,,,,,,,,,
55,286,306.0,,,,,,,,,,,,,,
56,286,306.0,,,,,,,,,,,,,,
57,344,352.0,,,,,,,,,,,,,,
58,88,,,,,,,,,,,,,,,
59,241,,,,,,,,,,,,,,,
60,236,,,,,,,,,,,,,,,
61,247,,,,,,,,,,,,,,,
62,325,,,,,,,,,,,,,,,
63,88,,,,,,,,,,,,,,,
64,88,,,,,,,,,,,,,,,
65,88,,,,,,,,,,,,,,,
66,88,,,,,,,,,,,,,,,
67,325,,,,,,,,,,,,,,,
68,325,,,,,,,,,,,,,,,
69,244,,,,,,,,,,,,,,,
70,312,,,,,,,,,,,,,,,
71,367,,,,,,,,,,,,,,,
72,88,,,,,,,,,,,,,,,
73,29,193.0,222.0,227.0,306.0,330.0,367.0,376.0,,,,,,,,
74,367,,,,,,,,,,,,,,,
