,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,262.0,,,,,,,,,,,,,,,
1,88.0,,,,,,,,,,,,,,,
2,185.0,,,,,,,,,,,,,,,
3,14.0,,,,,,,,,,,,,,,
4,188.0,,,,,,,,,,,,,,,
5,151.0,375.0,,,,,,,,,,,,,,
6,106.0,,,,,,,,,,,,,,,
7,377.0,,,,,,,,,,,,,,,
8,266.0,,,,,,,,,,,,,,,
9,369.0,,,,,,,,,,,,,,,
10,106.0,,,,,,,,,,,,,,,
11,222.0,276.0,346.0,,,,,,,,,,,,,
12,348.0,,,,,,,,,,,,,,,
13,217.0,,,,,,,,,,,,,,,
14,369.0,,,,,,,,,,,,,,,
15,367.0,,,,,,,,,,,,,,,
16,348.0,,,,,,,,,,,,,,,
17,348.0,,,,,,,,,,,,,,,
18,348.0,,,,,,,,,,,,,,,
19,362.0,,,,,,,,,,,,,,,
20,362.0,,,,,,,,,,,,,,,
21,10.0,,,,,,,,,,,,,,,
22,349.0,,,,,,,,,,,,,,,
23,237.0,,,,,,,,,,,,,,,
24,266.0,,,,,,,,,,,,,,,
25,330.0,,,,,,,,,,,,,,,
26,222.0,,,,,,,,,,,,,,,
27,120.0,328.0,,,,,,,,,,,,,,
28,348.0,,,,,,,,,,,,,,,
29,348.0,,,,,,,,,,,,,,,
30,363.0,,,,,,,,,,,,,,,
31,210.0,,,,,,,,,,,,,,,
32,217.0,367.0,,,,,,,,,,,,,,
33,241.0,247.0,259.0,,,,,,,,,,,,,
34,253.0,319.0,330.0,,,,,,,,,,,,,
35,367.0,,,,,,,,,,,,,,,
36,348.0,,,,,,,,,,,,,,,
37,10.0,,,,,,,,,,,,,,,
38,306.0,,,,,,,,,,,,,,,
39,306.0,,,,,,,,,,,,,,,
40,306.0,,,,,,,,,,,,,,,
41,372.0,,,,,,,,,,,,,,,
42,14.0,376.0,,,,,,,,,,,,,,
43,246.0,,,,,,,,,,,,,,,
44,367.0,,,,,,,,,,,,,,,
45,363.0,,,,,,,,,,,,,,,
46,246.0,353.0,,,,,,,,,,,,,,
47,206.0,,,,,,,,,,,,,,,
48,306.0,,,,,,,,,,,,,,,
49,344.0,352.0,,,,,,,,,,,,,,
50,286.0,363.0,,,,,,,,,,,,,,
